strain,parameter,value
L1,angular_velocity_head_base_mean,1.478859515382115
L1,angular_velocity_head_tip_mean,2.4208924834569836
L1,angular_velocity_hips_mean,0.7247907384509954
L1,angular_velocity_mean,0.22780202226556814
L1,angular_velocity_midbody_mean,0.49270061129997844
L1,angular_velocity_neck_mean,0.9602384638173027
L1,angular_velocity_tail_base_mean,0.9950655683380899
L1,angular_velocity_tail_tip_mean,1.8233826162317408
L1,area_mean,321.2758153100052
L1,curvature_head_mean,0.08450763537883542
L1,curvature_hips_mean,0.05983431501284493
L1,curvature_mean_head_mean,0.0774618250484891
L1,curvature_mean_hips_mean,0.04834206011518652
L1,curvature_mean_midbody_mean,0.029750339924968162
L1,curvature_mean_neck_mean,0.05875511168613443
L1,curvature_mean_tail_mean,0.05904567752640092
L1,curvature_midbody_mean,0.06202600682515878
L1,curvature_neck_mean,0.06635438556910131
L1,curvature_std_head_mean,0.034740434919113494
L1,curvature_std_hips_mean,0.038805234318355
L1,curvature_std_midbody_mean,0.06215050505152104
L1,curvature_std_neck_mean,0.043142966301417514
L1,curvature_std_tail_mean,0.03210613549747174
L1,curvature_tail_mean,0.07368944402949609
L1,d_angular_velocity_head_base_mean,7.114706256824115
L1,d_angular_velocity_head_tip_mean,12.885713770381516
L1,d_angular_velocity_hips_mean,3.3449732372494916
L1,d_angular_velocity_mean,0.9619299577946928
L1,d_angular_velocity_midbody_mean,2.2085724816008514
L1,d_angular_velocity_neck_mean,4.427394048820052
L1,d_angular_velocity_tail_base_mean,4.939684530315505
L1,d_angular_velocity_tail_tip_mean,10.123170710549152
L1,d_area_mean,82.11897575369616
L1,d_curvature_head_mean,0.3212846406343707
L1,d_curvature_hips_mean,0.18154538090565356
L1,d_curvature_mean_head_mean,0.2780249784350418
L1,d_curvature_mean_hips_mean,0.12272631489440097
L1,d_curvature_mean_midbody_mean,0.07067964216308784
L1,d_curvature_mean_neck_mean,0.16855124088830364
L1,d_curvature_mean_tail_mean,0.18352828435606575
L1,d_curvature_midbody_mean,0.1934074766029789
L1,d_curvature_neck_mean,0.20953044337967328
L1,d_curvature_std_head_mean,0.0768032079272286
L1,d_curvature_std_hips_mean,0.06004136164871491
L1,d_curvature_std_midbody_mean,0.048412458435378114
L1,d_curvature_std_neck_mean,0.07021081726955071
L1,d_curvature_std_tail_mean,0.06921766707895494
L1,d_curvature_tail_mean,0.26783682537072906
L1,d_eigen_projection_1_mean,3.613851072618881
L1,d_eigen_projection_2_mean,3.1351447461315365
L1,d_eigen_projection_3_mean,3.767403038531801
L1,d_eigen_projection_4_mean,3.392064968981986
L1,d_eigen_projection_5_mean,2.2681887263476055
L1,d_eigen_projection_6_mean,1.6674773516552936
L1,d_eigen_projection_7_mean,1.5020291782406994
L1,d_length_mean,5.372174756850722
L1,d_path_curvature_body_mean,0.40140304171613983
L1,d_path_curvature_head_mean,1.1439440629238995
L1,d_path_curvature_midbody_mean,0.18578962112065078
L1,d_path_curvature_tail_mean,0.23168742780698745
L1,d_quirkiness_mean,0.026366500152122083
L1,d_relative_to_body_angular_velocity_head_tip_mean,2.025571257516432
L1,d_relative_to_body_angular_velocity_hips_mean,1.2760531922738652
L1,d_relative_to_body_angular_velocity_neck_mean,1.2594597290879646
L1,d_relative_to_body_angular_velocity_tail_tip_mean,1.3008761762225125
L1,d_relative_to_body_radial_velocity_head_tip_mean,21.435478378437075
L1,d_relative_to_body_radial_velocity_hips_mean,7.964113751237338
